"","x"
"1",367334.713026545
"2",799900.244485139
"3",221434.471280028
"4",561169.517874005
"5",522885.042732351
"6",492057.834949723
"7",490978.921747373
"8",285795.800594882
"9",251026.344989176
"10",604796.446502106
"11",309442.480606174
"12",269251.789874222
"13",213577.229625469
"14",242795.526962572
"15",531846.790927275
"16",605137.085040787
"17",755949.734747261
"18",448395.558508783
"19",664232.505741961
"20",387528.410116356
"21",1013021.72257277
"22",259273.380256043
"23",278005.855556755
"24",447209.1700964
"25",752956.870474028
"26",279436.926040713
"27",1254583.26187259
"28",473803.702505642
"29",217841.201511284
"30",315753.631181543
"31",250122.341390821
"32",912642.270994925
"33",660593.493481896
"34",183867.104916201
"35",241613.366251006
"36",547127.559776062
"37",226686.893717502
"38",1284498.74488746
"39",1413365.55864235
"40",249408.065739211
"41",663473.069883206
"42",733330.989569647
"43",246294.88276338
"44",266004.115271453
"45",226568.004996423
"46",1310481.46207445
"47",813785.459727626
"48",552678.271323692
"49",377442.2719702
"50",658821.482688955
"51",356062.138970122
"52",317455.455520198
"53",1391076.0077396
"54",1391076.0077396
"55",554180.653322364
"56",511231.797348245
"57",219404.972550275
"58",312736.879856992
"59",913730.610339895
"60",452848.735324826
"61",957719.848894586
"62",674984.305366244
"63",381399.923477063
"64",521530.28534284
"65",465253.115602067
"66",271829.966832478
"67",169069.452266577
"68",844968.541659989
"69",580219.792514358
"70",481905.653480511
"71",767083.40102644
"72",868772.998016997
"73",356578.709743655
"74",466835.14982258
"75",435529.58923403
"76",839824.597806244
"77",412071.035241285
"78",646157.618358478
"79",370445.512701638
"80",1404230.95124797
"81",633109.227214288
"82",463303.916755227
"83",273801.71233267
"84",601997.843998909
"85",480800.078615701
"86",645728.293076719
"87",472018.3641222
"88",395047.319754964
"89",1130125.61414375
"90",1200758.89722129
"91",837336.359544323
"92",385583.333250587
"93",217077.076220296
"94",371105.376429181
"95",282843.154106537
"96",371400.052419991
"97",292836.384184025
"98",352428.459713591
"99",246978.628761878
"100",269788.393275373
"101",984024.138481759
"102",471347.078618613
"103",336968.574056935
"104",698398.657660659
"105",546130.16233998
"106",1008908.88073565
"107",238536.820783653
"108",322644.218762468
"109",1925635.18578597
"110",274788.291378053
"111",1844129.27327632
"112",285465.458052735
"113",285241.202437215
"114",339477.081372506
"115",2537082.30057918
"116",336036.927035107
"117",1751263.70310632
"118",216409.767807753
"119",431373.539859887
"120",540856.104774014
"121",323715.072593363
"122",272108.873690833
"123",279170.560374098
"124",760498.155444793
"125",259371.411542996
"126",423432.380020246
"127",789087.299260778
"128",1125099.98252463
"129",396820.756427881
"130",553181.065023298
"131",512036.349196222
"132",497172.875065111
"133",402014.93401818
"134",321717.349711146
"135",596181.54279694
"136",523338.283143215
"137",1040433.64554754
"138",308928.210639137
"139",456218.65347257
"140",317192.618853854
"141",547060.388446261
"142",853176.058329112
"143",439496.929664078
"144",375862.698591626
"145",696815.688541335
"146",670667.046599065
"147",236188.647985125
"148",347712.012089541
"149",496597.593302473
"150",310212.941990521
"151",265914.504832094
"152",319047.00007502
"153",296161.262552515
"154",1050651.5533714
"155",512989.494444241
"156",371615.814462926
"157",571851.955452979
"158",422581.215608271
"159",629464.59560134
"160",804134.262603949
"161",1462250.87665828
"162",812421.666713584
"163",468555.051376073
"164",1051694.05105822
"165",417234.948526358
"166",579201.063106248
"167",344843.626148978
"168",496465.207020325
"169",233324.048383778
"170",214804.625934612
"171",407918.774249964
"172",649251.384181142
"173",361974.173271996
"174",339097.449629343
"175",340798.271548478
"176",320886.374332939
"177",526612.657367094
"178",311981.954258976
"179",418206.928355941
"180",240758.047503046
"181",550643.767370084
"182",261672.191448758
"183",1209275.3079845
"184",749147.139480365
"185",947880.262091388
"186",1333696.46781506
"187",348646.827007429
"188",553284.023940397
"189",271921.391533148
"190",453178.790380654
"191",212158.887976438
"192",523491.023587583
"193",327274.343792286
"194",307259.778527105
"195",260693.188994367
"196",392735.027017289
"197",217756.135614242
"198",230805.87807108
"199",306247.92516248
"200",241530.292998027
"201",444543.884971071
"202",246189.65067749
"203",174813.541015582
"204",276912.197578683
"205",607642.661717187
"206",291931.661468931
"207",231404.409970499
"208",282304.917859452
"209",567120.082275635
"210",235171.745890003
"211",201842.298337194
"212",534103.72613807
"213",610116.886374962
"214",619219.541021489
"215",822670.775503683
"216",364596.33306722
"217",663737.252469806
"218",312629.572683588
"219",335862.62236082
"220",331290.346401491
"221",232840.213334869
"222",503130.780578222
"223",234696.504101197
"224",160339.868158744
"225",382905.228422934
"226",196609.395159868
"227",1052163.72556154
"228",525332.576985761
"229",409945.118558441
"230",731906.79978294
"231",348837.301150123
"232",335165.380708665
"233",343022.531132149
"234",483767.35120322
"235",215222.519563154
"236",435106.26853151
"237",496075.62122969
"238",526286.29534448
"239",412328.831126976
"240",841306.624497846
"241",372279.063032415
"242",429080.102449083
"243",576588.52469057
"244",358306.759296642
"245",785428.699475413
"246",552692.72537484
"247",343905.251863019
"248",295400.849766903
"249",473671.203660309
"250",874743.152393646
"251",496784.776478705
"252",433264.13543296
"253",394156.340180823
"254",346128.646709442
"255",233770.738089783
"256",374200.687412661
"257",296680.179566627
"258",531287.538747958
"259",459057.833271143
"260",360141.888168442
"261",1038513.26058629
"262",635927.777875407
"263",335349.760756936
"264",550866.416914529
"265",657068.789436069
"266",374750.917477926
"267",510111.018493712
"268",599424.279351258
"269",366640.740013581
"270",441945.753092832
"271",674731.249531844
"272",382564.234501801
"273",189940.948225062
"274",957716.602181799
"275",659005.209886846
"276",468653.629763274
"277",420619.524546963
"278",304517.411728509
"279",531825.453205016
"280",355947.917712359
"281",991830.700369105
"282",312700.328967633
"283",700626.458919369
"284",290175.321791454
"285",685617.23957264
"286",629647.194986224
"287",559949.973067767
"288",1346056.65515883
"289",272961.836945393
"290",653945.826214433
"291",309818.346996812
"292",318425.586216887
"293",429459.460577464
"294",1307758.01631034
"295",685731.47842664
"296",335076.4492758
"297",776365.080101174
"298",223553.733725118
"299",635157.259880473
"300",1016888.67044311
"301",335956.451554802
"302",207115.03720389
"303",759039.000324816
"304",661346.901665515
"305",466155.814967769
"306",1223109.77422451
"307",404052.783820251
"308",371236.479898337
"309",375686.058107114
"310",535891.085368402
"311",433603.15407308
"312",671934.506788294
"313",196363.678022103
"314",596531.30514879
"315",884212.816988729
"316",1323043.54307911
"317",471874.734061346
"318",238595.521133341
"319",981949.27259999
